pcn_code,EMIS,EMIS (I),TPP,VISION,ICB
U00070,156,0,0,0,36L
U00147,0,0,260,0,04C
U00203,533,0,0,0,01G
U00254,312,0,0,0,72Q
U00351,0,0,312,0,15E
U00367,1313,0,0,0,A3A8R
U00402,390,0,0,0,15C
U00567,0,0,247,0,03H
U00639,143,0,0,0,01H
U00760,546,0,0,0,11X
U01092,234,0,78,0,70F
U01096,78,0,468,0,07H
U01150,0,0,78,0,06K
U01198,0,0,234,0,D9Y0V
U01315,156,0,0,0,91Q
U01367,234,0,0,0,10Q
U01577,624,0,0,0,D2P2L
U01630,624,0,78,0,01Y
U01680,0,0,390,0,03L
U01901,468,0,0,0,00X
U01916,312,0,0,0,14Y
U01989,0,0,195,0,84H
U02049,234,0,0,0,92A
U02275,624,0,0,0,01Y
U02453,0,0,468,0,99G
U02454,234,0,0,0,36L
U02610,468,0,234,0,11N
U02669,0,0,390,0,11M
U02671,234,0,390,0,16C
U02678,390,0,0,0,27D
U02731,624,0,0,0,99A
U02739,78,0,468,0,99C
U02749,0,0,312,0,11J
U02795,624,0,0,0,93C
U02961,0,0,546,0,W2U3Z
U03055,312,0,0,0,D4U1Y
U03153,546,0,0,0,01G
U03186,0,0,546,0,04C
U03298,78,0,546,0,42D
U03364,65,0,247,0,70F
U03379,78,0,234,0,06T
U03551,182,0,0,0,72Q
U03653,702,0,0,0,A3A8R
U03810,0,0,156,0,10R
U03824,0,0,650,0,03F
U03826,221,0,13,0,03Q
U03864,234,0,0,0,11N
U03892,0,0,390,0,06L
U03989,468,0,0,0,15A
U04079,234,0,0,78,15A
U04154,156,0,312,0,26A
U04443,0,0,390,0,99G
U04545,0,0,390,0,99G
U04648,0,0,234,0,92G
U04725,143,0,91,0,70F
U04748,0,0,156,0,70F
U04784,468,0,0,0,B2M3M
U04862,156,0,0,0,10Q
U04901,234,0,0,0,05V
U04914,390,0,0,0,01E
U04973,312,0,0,0,91Q
U05001,0,0,234,0,02Q
U05048,0,0,546,0,15M
U05340,0,0,702,0,92G
U05433,91,0,611,0,26A
U05451,390,0,0,0,A3A8R
U05458,468,0,0,0,00P
U05510,390,0,0,0,91Q
U05512,429,52,351,0,00L
U05517,390,0,78,0,00T
U05632,156,0,0,0,97R
U05642,0,0,780,0,04C
U05679,26,0,130,0,92G
U05734,312,0,0,0,05W
U05784,0,0,936,0,W2U3Z
U05796,0,0,312,0,04C
U05885,312,0,0,0,93C
U05906,546,0,0,0,00X
U06000,78,0,0,0,27D
U06079,234,0,0,0,06N
U06092,156,0,624,0,X2C4Y
U06180,1092,0,0,0,72Q
U06243,0,0,390,0,07G
U06256,312,0,78,0,05W
U06387,0,0,390,0,15N
U06437,0,0,312,0,52R
U06438,0,0,156,0,15M
U06486,312,0,0,0,15C
U06610,780,0,0,0,D2P2L
U06816,156,0,312,0,15N
U06871,234,0,78,0,70F
U06978,390,0,0,0,A3A8R
U07003,156,0,156,0,00T
U07032,0,0,156,0,16C
U07140,312,0,0,0,72Q
U07169,390,0,0,0,A3A8R
U07199,0,0,234,0,09D
U07392,546,0,0,0,W2U3Z
U07449,0,0,78,0,10R
U07506,702,0,0,0,14L
U07605,312,0,0,0,93C
U07607,312,0,0,0,36L
U07648,312,0,0,0,91Q
U07776,312,0,0,0,27D
U07789,468,0,0,0,B2M3M
U07842,0,0,390,0,16C
U07902,156,0,156,0,78H
U08085,767,0,0,0,01H
U08086,546,0,0,0,01A
U08229,0,0,312,0,71E
U08235,0,0,702,0,70F
U08248,78,0,390,0,03R
U08561,78,0,0,0,D9Y0V
U08578,234,0,0,0,A3A8R
U08579,234,0,0,0,06N
U08711,234,0,0,0,91Q
U08744,234,0,0,0,91Q
U08803,260,0,0,0,A3A8R
U08925,312,0,0,0,05V
U09057,559,0,0,0,01A
U09071,390,0,0,0,36L
U09072,234,0,156,0,09D
U09081,78,0,234,0,11N
U09100,780,0,0,0,01E
U09187,0,0,390,0,78H
U09193,312,0,0,0,A3A8R
U09275,234,0,0,0,11X
U09521,0,0,546,0,03W
U09529,0,0,312,0,03L
U09531,0,0,546,0,M1J4Y
U09643,468,0,0,0,01F
U09727,0,0,468,78,06Q
U09738,91,0,455,0,06H
U09772,0,0,455,0,78H
U09847,78,0,312,0,11M
U09883,156,0,156,0,00T
U09893,156,0,0,0,10Q
U09980,0,0,351,0,00L
U10033,0,0,234,0,06L
U10128,390,0,0,0,91Q
U10200,234,0,0,0,91Q
U10335,0,0,390,0,10R
U10339,858,0,0,0,W2U3Z
U10386,234,0,0,0,99C
U10430,78,0,78,0,07K
U10439,0,0,312,0,03R
U10555,338,0,208,0,26A
U10602,78,0,312,0,26A
U10684,390,0,0,0,11X
U10730,429,0,0,0,01J
U10743,390,0,0,0,B2M3M
U10748,0,0,78,0,02Q
U10791,260,0,0,0,00X
U10827,0,0,312,0,03R
U10834,468,0,0,0,18C
U10847,312,0,0,0,10Q
U10870,312,0,0,0,92A
U10995,156,0,0,0,D9Y0V
U10998,78,0,546,0,52R
U11059,78,0,0,0,72Q
U11103,390,0,0,0,11X
U11112,0,0,260,0,00L
U11176,312,0,0,0,B2M3M
U11181,312,0,0,0,D9Y0V
U11211,468,0,78,0,A3A8R
U11269,312,0,0,0,01A
U11373,312,0,0,0,A3A8R
U11393,0,0,390,0,15F
U11559,858,0,0,0,W2U3Z
U11602,156,0,78,0,00T
U11614,468,0,0,0,B2M3M
U11625,0,0,156,0,11N
U11684,390,0,0,0,91Q
U11690,468,0,0,0,72Q
U11694,0,0,156,0,06H
U11746,78,0,390,0,D2P2L
U11781,78,0,156,0,15A
U11864,312,0,312,0,15F
U12169,0,0,468,0,03W
U12199,312,0,0,0,18C
U12200,546,0,0,0,04Y
U12365,0,0,325,0,84H
U12376,234,0,390,0,03N
U12413,0,0,858,0,71E
U12548,0,0,624,0,W2U3Z
U12550,234,0,0,0,91Q
U12553,0,0,312,0,06Q
U12563,0,0,858,0,52R
U12587,390,0,0,0,W2U3Z
U12754,312,0,0,0,10Q
U12833,455,0,0,0,12F
U12920,312,0,0,0,93C
U12949,0,0,234,0,52R
U12951,390,0,0,0,05G
U13032,0,0,468,0,26A
U13098,546,0,0,0,14L
U13205,312,0,0,0,M2L0M
U13245,0,0,468,0,03N
U13456,312,78,0,0,15C
U13557,0,0,1716,0,26A
U13621,0,0,312,0,15M
U13655,1001,0,78,0,15E
U13720,312,0,0,0,13T
U13761,390,0,0,0,91Q
U13771,0,0,546,0,06H
U13952,156,0,78,0,70F
U13956,0,0,390,0,11M
U13990,0,0,312,0,42D
U14006,390,0,0,0,01W
U14045,78,0,156,0,02E
U14062,78,0,312,0,09D
U14074,312,0,0,0,D4U1Y
U14261,0,0,221,0,11J
U14327,1300,0,0,0,00Y
U14482,0,0,780,0,W2U3Z
U14615,0,0,195,0,84H
U14646,468,0,0,0,00P
U14694,390,0,0,0,D4U1Y
U14816,234,0,78,0,70F
U14878,234,0,0,0,27D
U14922,234,0,0,0,B2M3M
U15138,0,0,390,0,06K
U15164,390,0,0,0,D9Y0V
U15166,0,0,234,0,06Q
U15230,156,0,0,0,10Q
U15334,390,0,0,0,93C
U15435,234,0,0,0,01W
U15488,0,0,390,0,99E
U15552,624,0,0,0,15E
U15644,0,0,234,0,M1J4Y
U15814,78,0,0,0,D9Y0V
U16004,0,0,234,0,06H
U16083,0,0,390,0,W2U3Z
U16196,0,0,832,0,11M
U16318,390,0,0,0,04Y
U16338,78,0,312,0,11M
U16428,624,0,0,0,01D
U16446,234,0,78,0,07H
U16464,1248,0,1092,156,02P
U16538,0,0,299,0,03H
U16600,312,0,0,0,15C
U16737,0,0,312,0,11J
U16816,0,0,78,0,11M
U16877,0,0,390,0,03H
U16878,0,0,312,0,15F
U16896,325,0,0,0,D9Y0V
U16983,234,0,0,0,15A
U17012,468,0,234,0,71E
U17022,0,0,312,0,36J
U17081,156,0,78,0,D9Y0V
U17084,312,0,0,0,A3A8R
U17153,390,0,0,0,11X
U17156,598,0,0,0,00Y
U17168,0,0,624,0,15M
U17435,0,0,312,0,71E
U17794,0,0,702,0,99G
U17834,234,0,0,0,91Q
U17849,312,0,234,0,13T
U17969,312,0,0,0,D4U1Y
U17992,650,0,0,0,01K
U18020,390,0,0,0,D2P2L
U18195,390,0,234,0,15E
U18267,0,0,390,0,52R
U18315,156,0,0,0,72Q
U18398,0,0,390,0,W2U3Z
U18460,1274,0,0,0,01V
U18888,208,0,0,0,06N
U18986,0,0,468,0,D9Y0V
U18990,0,0,312,0,06Q
U19031,156,0,312,0,78H
U19037,0,0,468,0,15E
U19124,0,0,169,0,10R
U19152,26,52,78,0,06K
U19169,0,0,390,0,52R
U19348,637,0,0,0,D2P2L
U19424,390,0,0,0,36L
U19471,143,0,325,0,06H
U19803,0,0,156,0,W2U3Z
U19808,156,0,0,0,01K
U19923,0,0,390,0,11J
U20036,312,0,0,0,93C
U20165,234,0,0,0,92A
U20256,546,0,0,0,00N
U20290,234,0,156,0,A3A8R
U20320,546,0,0,156,D4U1Y
U20349,468,0,0,0,01X
U20350,156,0,468,0,03N
U20410,624,0,0,0,92A
U20454,520,0,0,0,D2P2L
U20639,390,0,0,0,06N
U20640,0,0,312,0,06H
U20827,312,0,0,0,10Q
U20871,403,0,0,0,D9Y0V
U20931,312,0,0,0,10Q
U21059,78,0,234,0,15N
U21078,0,0,234,0,03Q
U21222,546,0,0,0,72Q
U21248,0,0,156,0,78H
U21268,546,0,0,0,A3A8R
U21317,156,0,78,0,97R
U21339,0,0,390,0,70F
U21359,546,0,0,0,18C
U21400,390,0,0,0,01A
U21465,0,0,78,0,11J
U21470,156,0,0,0,91Q
U21547,0,0,156,0,92G
U21617,78,0,0,0,15C
U21757,390,0,0,0,02G
U21926,234,0,234,0,02H
U21951,390,0,0,0,11X
U21965,546,0,0,0,91Q
U21972,234,0,0,0,D9Y0V
U22020,0,0,312,0,11M
U22092,156,0,0,0,D9Y0V
U22192,234,0,0,0,91Q
U22273,546,0,0,0,01E
U22426,156,0,312,0,09D
U22471,1014,0,0,0,15E
U22506,78,0,0,0,72Q
U23362,312,0,0,0,A3A8R
U23418,390,0,234,0,02H
U23535,156,0,78,0,92A
U23544,0,0,156,0,M1J4Y
U23546,312,0,0,0,72Q
U23620,312,0,0,0,10Q
U23710,0,0,390,0,11M
U23714,78,0,468,0,16C
U23717,702,0,0,0,01T
U23742,234,0,78,0,07K
U23821,429,0,39,0,14Y
U23862,0,0,390,0,11M
U24241,312,0,0,0,06N
U24247,0,0,234,0,D9Y0V
U24388,78,0,156,0,06H
U24481,624,0,0,0,91Q
U24558,0,0,624,0,70F
U24727,234,0,0,0,06N
U24740,0,0,780,0,W2U3Z
U24883,624,0,0,78,M2L0M
U24977,0,0,364,0,00L
U24992,390,0,0,0,72Q
U25131,468,0,0,0,W2U3Z
U25219,0,0,312,0,03R
U25240,624,0,0,0,15E
U25251,0,0,468,0,11J
U25255,390,0,0,0,91Q
U25294,234,0,156,0,03W
U25405,78,0,0,0,D4U1Y
U25489,65,0,65,0,00L
U25520,260,0,0,0,01K
U25545,0,0,689,0,00L
U25572,0,0,312,0,92G
U25587,156,0,78,0,15E
U25656,858,0,0,0,12F
U25680,546,0,0,0,01H
U25707,390,0,0,0,11X
U25735,78,0,468,0,D2P2L
U25799,546,0,0,0,27D
U25882,0,0,858,0,15M
U26054,624,0,0,0,B2M3M
U26059,234,0,78,0,D9Y0V
U26254,156,0,0,0,M2L0M
U26345,780,0,0,0,M2L0M
U26379,234,0,0,0,14L
U26493,0,0,156,0,M1J4Y
U26715,234,0,0,0,D2P2L
U26743,390,0,0,0,91Q
U26744,390,0,0,0,A3A8R
U26788,390,0,0,0,02M
U26808,0,0,390,0,92G
U26844,234,0,0,0,D9Y0V
U26864,0,0,260,0,84H
U26878,0,0,156,0,06L
U26939,0,0,312,0,70F
U26996,78,0,312,0,03N
U26997,390,0,0,0,10Q
U27026,312,0,0,0,91Q
U27032,0,0,390,0,15E
U27086,0,0,312,0,36J
U27128,0,0,611,0,M1J4Y
U27129,234,0,0,0,15E
U27139,312,0,0,0,93C
U27258,0,0,234,0,06L
U27349,0,0,234,0,16C
U27362,546,0,0,0,A3A8R
U27366,234,0,78,0,15E
U27515,0,0,312,0,11J
U27553,234,0,0,0,M2L0M
U27585,624,0,78,0,A3A8R
U27607,468,0,0,0,D2P2L
U27624,78,0,0,0,01K
U27664,312,0,0,0,91Q
U27924,0,0,546,0,99F
U27932,0,0,390,0,15N
U28163,78,0,312,0,03N
U28174,390,0,0,0,11X
U28178,0,0,468,0,M1J4Y
U28237,78,0,0,0,27D
U28255,468,0,234,0,78H
U28266,156,0,78,0,06T
U28348,234,0,234,0,02Y
U28378,78,0,390,0,03N
U28405,624,0,0,0,15M
U28474,0,0,390,0,36J
U28765,0,0,468,0,07G
U28791,0,0,156,0,92G
U29000,156,0,312,0,02E
U29053,78,0,234,0,52R
U29197,156,0,0,0,15A
U29246,156,0,0,0,D9Y0V
U29424,624,0,0,0,A3A8R
U29575,936,0,0,0,B2M3M
U29677,234,0,468,0,09D
U29951,390,0,0,0,27D
U30079,624,0,0,0,93C
U30123,0,0,208,0,06H
U30170,858,0,0,0,02H
U30213,0,0,234,0,03W
U30256,468,0,0,0,B2M3M
U30335,0,0,468,0,99F
U30526,468,0,0,0,36L
U30563,312,0,0,0,D9Y0V
U30587,312,0,468,0,02X
U30913,156,0,156,0,02Y
U31094,468,0,0,0,27D
U31169,78,0,312,0,03N
U31228,78,0,936,0,15F
U31269,0,0,468,0,15F
U31305,520,0,0,0,D4U1Y
U31313,156,0,234,0,02E
U31390,0,0,234,0,06T
U31420,0,0,312,0,26A
U31504,468,0,0,0,01A
U31538,0,0,234,0,11M
U31548,0,0,546,0,D2P2L
U31619,0,0,390,0,84H
U31823,468,0,0,0,01A
U31847,0,0,390,0,03R
U31922,0,0,416,0,M1J4Y
U31970,0,0,156,0,11N
U32001,390,0,0,0,15C
U32116,0,0,156,0,D2P2L
U32212,468,0,0,0,W2U3Z
U32323,0,0,520,0,52R
U32349,780,0,0,0,18C
U32372,78,0,312,0,15N
U32760,0,0,468,0,11J
U32828,234,0,0,78,36L
U32831,468,0,0,0,01D
U32901,0,0,390,0,92G
U32995,78,0,0,0,91Q
U33024,468,0,0,0,36L
U33065,858,0,0,0,W2U3Z
U33098,390,0,0,0,B2M3M
U33192,234,0,390,0,04V
U33392,936,0,0,0,93C
U33451,0,0,312,0,70F
U33522,0,0,234,0,07H
U33566,468,0,0,0,92A
U33593,0,0,312,0,70F
U33609,0,0,858,0,W2U3Z
U33691,390,0,0,0,13T
U33695,0,0,234,0,M1J4Y
U33832,0,0,312,0,71E
U33954,1014,0,0,0,B2M3M
U33963,468,0,0,0,15C
U34072,0,0,390,0,07H
U34146,0,0,260,0,13T
U34184,234,0,0,0,D9Y0V
U34188,468,0,0,0,A3A8R
U34230,0,0,234,0,15N
U34235,312,0,0,0,91Q
U34388,78,0,312,0,15N
U34538,78,0,0,0,06N
U34632,390,0,0,0,00X
U34667,546,0,0,0,14L
U34742,0,0,312,0,02T
U34807,0,0,78,0,92G
U34811,156,0,0,0,93C
U34816,468,0,0,0,00Q
U34826,0,0,312,0,11J
U35004,0,0,234,0,M1J4Y
U35438,312,0,0,0,93C
U35513,858,0,0,0,W2U3Z
U35724,468,0,0,0,05W
U35821,78,0,156,0,78H
U35939,195,0,0,0,01K
U35980,702,0,0,0,99A
U35987,78,0,234,0,04V
U36042,0,0,156,0,26A
U36134,390,0,78,0,05G
U36188,468,0,0,0,72Q
U36231,0,0,546,0,04C
U36299,234,0,0,0,06N
U36452,312,0,0,0,B2M3M
U36510,390,0,0,0,W2U3Z
U36512,312,0,0,0,05W
U36584,312,0,0,0,93C
U36651,0,0,234,0,78H
U36652,390,0,0,0,06N
U36687,468,0,0,0,93C
U36721,0,0,390,0,11N
U36746,234,0,234,0,02X
U36776,247,0,0,0,03H
U36779,234,0,0,0,72Q
U36780,78,0,234,0,03L
U36795,910,0,0,0,93C
U36809,0,0,234,0,92G
U36833,0,0,468,0,11M
U36842,273,0,169,0,97R
U36887,468,0,0,0,W2U3Z
U37007,78,0,0,0,15A
U37037,78,0,0,0,70F
U37086,0,0,702,0,W2U3Z
U37262,312,0,0,0,36L
U37286,468,0,0,0,A3A8R
U37296,936,0,0,0,01J
U37297,390,0,0,0,15C
U37316,0,0,624,0,36J
U37339,546,0,0,0,91Q
U37341,0,0,78,0,97R
U37388,390,0,0,0,01W
U37411,0,0,234,0,03F
U37412,234,0,0,0,15N
U37593,0,0,260,0,84H
U37618,2106,78,0,0,01T
U37826,624,0,0,0,00N
U38045,468,0,0,0,72Q
U38064,390,0,0,0,18C
U38066,0,0,234,0,92G
U38216,0,0,702,0,36J
U38221,234,0,390,0,X2C4Y
U38271,624,0,0,0,01Y
U38328,0,0,312,0,06K
U38486,65,0,0,0,84H
U38661,0,0,156,0,71E
U38731,0,0,676,0,11J
U38734,312,0,0,0,36L
U39025,0,0,312,0,07K
U39113,468,0,0,0,05G
U39263,390,0,0,0,72Q
U39345,78,0,0,0,03N
U39446,0,0,312,0,M1J4Y
U39686,507,0,0,0,93C
U39721,546,0,0,0,72Q
U39739,312,0,0,0,92A
U40100,468,0,0,0,A3A8R
U40115,0,0,78,0,15N
U40159,0,0,312,0,78H
U40164,312,0,0,0,D9Y0V
U40253,468,0,234,0,06T
U40386,234,0,0,0,06T
U40458,312,0,0,0,36L
U40502,0,0,234,0,16C
U40593,0,0,234,0,06L
U40722,312,0,0,0,91Q
U40951,234,0,156,0,15N
U41041,390,0,0,0,72Q
U41523,156,0,234,0,11M
U41563,312,0,0,0,00Y
U41591,0,0,390,0,11N
U41693,0,0,234,0,71E
U41928,78,0,234,0,15E
U41930,312,0,0,0,13T
U42007,78,0,858,0,04V
U42142,234,0,234,0,06T
U42152,702,0,0,0,02H
U42154,390,0,0,0,36L
U42235,390,0,0,0,92A
U42276,0,0,624,0,W2U3Z
U42510,0,0,78,0,11J
U42598,611,0,0,0,36L
U42671,247,0,0,0,D4U1Y
U42807,468,0,0,0,27D
U42898,468,0,0,0,02A
U42972,312,0,0,0,97R
U43067,78,0,234,0,15F
U43084,0,0,390,0,03R
U43112,234,0,0,0,72Q
U43314,468,0,0,0,00P
U43524,78,0,0,0,13T
U43660,390,0,156,0,15E
U44012,234,0,0,0,36L
U44050,156,0,0,0,36L
U44365,546,0,0,0,15E
U44401,104,0,520,0,03K
U44537,0,0,390,0,15E
U44561,143,0,481,0,52R
U44623,390,0,0,0,91Q
U44671,234,0,0,0,15A
U44695,156,0,78,0,13T
U44713,0,0,156,0,92G
U45013,390,0,0,0,01V
U45014,0,0,546,0,02E
U45098,312,0,0,0,72Q
U45102,0,0,715,0,16C
U45156,312,0,624,0,D2P2L
U45528,78,0,0,0,15E
U45611,468,0,0,0,02G
U45670,0,0,234,0,03Q
U45703,0,0,546,0,W2U3Z
U45743,468,0,0,0,01T
U45809,312,0,0,0,00R
U45842,312,0,0,0,36L
U45898,78,0,312,0,13T
U45943,312,0,0,0,36L
U45992,234,0,0,0,14L
U46071,0,0,156,0,00T
U46082,0,0,234,0,03Q
U46154,468,0,0,0,D9Y0V
U46190,0,0,312,0,15N
U46293,312,0,0,0,A3A8R
U46389,416,0,0,0,D9Y0V
U46417,78,0,234,0,06T
U46437,468,0,156,0,15E
U46447,78,0,156,0,09D
U46454,234,0,78,0,15E
U46464,0,0,312,0,M1J4Y
U46593,390,0,0,0,72Q
U46695,234,0,0,0,05Q
U46901,312,0,0,0,92A
U46976,312,0,0,0,12F
U47004,546,0,234,0,D9Y0V
U47184,234,0,78,0,14Y
U47223,0,0,546,0,15M
U47228,234,0,0,0,91Q
U47242,156,0,390,0,52R
U47425,312,0,0,0,11X
U47608,0,0,624,0,W2U3Z
U47609,234,0,0,0,15E
U47655,234,0,0,0,10Q
U47657,78,0,0,0,92A
U47812,468,0,0,0,A3A8R
U47851,0,0,455,0,52R
U47882,234,0,0,0,00R
U47946,312,0,78,0,A3A8R
U47975,0,0,390,0,26A
U48026,0,0,312,0,04C
U48056,390,0,0,0,97R
U48176,0,0,312,0,06Q
U48302,481,0,0,0,01H
U48502,546,0,0,0,00Q
U48538,312,0,0,0,15C
U48652,0,0,312,0,26A
U48691,0,0,156,0,06K
U48923,312,0,0,0,D2P2L
U49001,234,0,0,0,11N
U49070,312,0,0,0,01E
U49145,468,0,0,0,B2M3M
U49226,858,0,0,0,00V
U49304,390,0,0,0,15A
U49326,234,0,0,0,18C
U49525,468,0,0,0,00V
U49529,546,0,0,0,14L
U49536,78,0,78,0,70F
U49574,0,0,234,0,M1J4Y
U49615,0,0,390,0,06L
U49616,0,0,312,0,07K
U49727,468,0,0,0,99A
U49728,468,0,0,0,D2P2L
U49785,0,0,468,0,92G
U49851,0,0,546,0,36J
U49896,312,0,0,0,36L
U49929,0,0,312,0,99F
U49944,0,0,234,0,03N
U50083,234,0,0,0,18C
U50107,234,0,0,0,A3A8R
U50130,0,0,390,0,M1J4Y
